avgmu,L2Calo_ring_0,L2Calo_ring_1,L2Calo_ring_2,L2Calo_ring_3,L2Calo_ring_4,L2Calo_ring_5,L2Calo_ring_6,L2Calo_ring_7,L2Calo_ring_8,L2Calo_ring_9,L2Calo_ring_10,L2Calo_ring_11,L2Calo_ring_12,L2Calo_ring_13,L2Calo_ring_14,L2Calo_ring_15,L2Calo_ring_16,L2Calo_ring_17,L2Calo_ring_18,L2Calo_ring_19,L2Calo_ring_20,L2Calo_ring_21,L2Calo_ring_22,L2Calo_ring_23,L2Calo_ring_24,L2Calo_ring_25,L2Calo_ring_26,L2Calo_ring_27,L2Calo_ring_28,L2Calo_ring_29,L2Calo_ring_30,L2Calo_ring_31,L2Calo_ring_32,L2Calo_ring_33,L2Calo_ring_34,L2Calo_ring_35,L2Calo_ring_36,L2Calo_ring_37,L2Calo_ring_38,L2Calo_ring_39,L2Calo_ring_40,L2Calo_ring_41,L2Calo_ring_42,L2Calo_ring_43,L2Calo_ring_44,L2Calo_ring_45,L2Calo_ring_46,L2Calo_ring_47,L2Calo_ring_48,L2Calo_ring_49,L2Calo_ring_50,L2Calo_ring_51,L2Calo_ring_52,L2Calo_ring_53,L2Calo_ring_54,L2Calo_ring_55,L2Calo_ring_56,L2Calo_ring_57,L2Calo_ring_58,L2Calo_ring_59,L2Calo_ring_60,L2Calo_ring_61,L2Calo_ring_62,L2Calo_ring_63,L2Calo_ring_64,L2Calo_ring_65,L2Calo_ring_66,L2Calo_ring_67,L2Calo_ring_68,L2Calo_ring_69,L2Calo_ring_70,L2Calo_ring_71,L2Calo_ring_72,L2Calo_ring_73,L2Calo_ring_74,L2Calo_ring_75,L2Calo_ring_76,L2Calo_ring_77,L2Calo_ring_78,L2Calo_ring_79,L2Calo_ring_80,L2Calo_ring_81,L2Calo_ring_82,L2Calo_ring_83,L2Calo_ring_84,L2Calo_ring_85,L2Calo_ring_86,L2Calo_ring_87,L2Calo_ring_88,L2Calo_ring_89,L2Calo_ring_90,L2Calo_ring_91,L2Calo_ring_92,L2Calo_ring_93,L2Calo_ring_94,L2Calo_ring_95,L2Calo_ring_96,L2Calo_ring_97,L2Calo_ring_98,L2Calo_ring_99,eratio,rhad,reta
41.87,620.6369,-29.462885,126.015366,86.45861,-121.51653,-157.95255,13.914721,-321.7719,2178.8333,1804.6758,695.53784,324.80176,196.26787,111.223885,120.47473,48.35915,24.210913,-32.259182,159.98972,-24.832584,16.755962,24.17217,-13.772369,-95.145905,-26.737104,-47.047638,-59.01646,-19.321259,13.047852,21.405668,30.637852,1.9856241,50.049873,-68.2949,19.508747,-101.58848,-3.6270976,44.395626,-25.798412,36.06745,-13.897456,-66.49089,29.653599,42.636345,-39.6015,2.9197574,-45.18997,-15.620766,-41.45525,-46.107468,26.02435,-2.6554177,36.160786,-26.694489,40.786118,-60.966736,35.30826,-12.79445,-9.976212,-34.90878,-76.592896,-74.65658,-23.868013,-32.20036,-21.92747,-75.47092,-17.150978,50.33177,43.780205,16.987036,-57.00109,32.697063,2765.667,4071.4773,947.4923,47.024235,-152.01901,-479.72836,-81.8474,332.3538,49.509342,0.3753102,-18.560326,-30.017307,79.4472,-30.497257,-52.801853,-98.598465,2.3543198,-69.217,-724.65967,434.8665,-15.067647,24.484926,-93.70193,1098.3749,4.625037,10.175082,94.35076,160.9513,0.96839935,0.00499796,0.9233315
40.97,479.71655,-354.22772,266.4294,-256.37613,-221.3889,422.55634,376.6539,12.545666,1817.4326,1381.9586,573.6857,255.20143,62.975178,-15.66687,22.17437,5.039644,11.240842,-41.99708,-49.825497,24.22084,-8.961298,-1.4680251,100.23466,42.98555,118.97225,-89.81,-2.0249372,-34.78864,12.559162,13.21445,-49.605034,100.3269,28.404173,-0.7185559,-12.690017,-61.505085,-17.109743,-3.2372882,-101.39003,-41.751354,-6.669681,41.41941,45.180573,-20.697159,102.1554,171.34456,300.50815,1022.40466,426.7209,68.67585,13.255669,10.734443,30.40562,-34.226795,1.0770117,2.7865198,-20.27664,-27.61217,-35.69267,-42.56899,103.77144,26.85067,7.9348545,11.118244,-4.189981,-73.9577,10.832725,25.704342,72.00362,26.41443,0.41595706,10.615936,2396.6843,6559.0117,687.5112,-183.86803,1216.4169,283.6054,31.42667,1184.1973,63.627796,-122.75471,168.5115,121.1552,99.45094,49.284283,44.567017,19.575539,21.473152,52.434444,-227.21593,553.3082,-37.453175,-60.424454,-245.19345,-37.453175,-23.0,52.5,22.5,-11.0,0.89491636,-0.003277141,0.96243966
40.92,139.1039,181.09375,376.27133,-27.925322,276.71765,241.95793,1178.0072,197.98346,1443.6744,2393.8528,612.6072,437.0089,227.01909,130.00342,46.93826,97.70726,-1.653897,-28.168007,-36.97997,1.6318691,19.107075,-51.915546,-2.2162116,-32.631363,-39.842255,40.806877,4.85622,-26.613688,-16.666418,-51.90233,-11.272633,63.99572,-22.144434,-22.670725,62.671875,93.952515,30.61957,-24.599302,-53.94836,62.460262,-45.795,28.634226,13.5442505,8.914116,-23.85486,-42.463696,-59.681866,44.998974,4.166095,-7.9653687,41.036015,83.71114,-94.40072,52.609684,166.96428,-21.609451,31.28091,71.99677,52.77445,-3.7848566,-12.342141,-18.820099,-83.66472,7.617848,-3.7582822,-4.6892176,-13.439968,-1.9029199,-56.319332,0.05181321,-21.28215,-18.371227,3752.3677,4395.0107,248.79045,96.79251,-96.018524,-81.819725,149.72563,336.45258,41.281467,111.132645,-38.831776,111.136826,-56.807884,-52.70639,-38.31396,-144.77875,-20.718014,-249.5579,356.12387,737.30853,68.74614,-117.245125,735.3409,-200.58804,0.0,-53.904617,6.6198654,-74.23706,0.985285,0.000582785,0.98894686
40.63,1061.9642,792.8204,732.84955,12.538379,-103.6898,395.60464,-178.35504,231.50052,1224.7456,2698.629,1249.8751,559.3681,320.26978,244.15843,29.32272,127.94992,122.98488,-8.320991,69.468346,111.23686,46.800976,-4.1571326,-5.8774285,87.78787,40.953484,21.729996,36.772038,-18.424368,52.578457,35.042328,56.656254,55.05712,23.26937,-5.160505,28.278145,-30.996433,-15.126247,-43.57562,9.911277,32.45073,-75.32049,2.40995,-38.559982,-20.149748,-60.29802,4.023737,20.783142,49.224014,24.063484,-76.212845,-62.008,-66.08308,-82.73091,-95.280045,8.325761,-37.646103,-56.01182,70.99975,-42.678886,14.223931,-34.227924,-50.18769,5.044579,-21.70446,-30.09175,-58.521374,1.6835985,-0.048346985,1.6433346,-40.999695,2.541251,-25.851763,2325.1008,3016.9148,565.6739,-48.527252,45.236874,282.45,-178.911,-91.290054,75.300934,94.46915,-90.433716,94.604385,-126.639984,-171.67639,-307.60474,48.031685,-36.511524,190.3522,271.99033,300.11682,175.99374,18.05064,-314.6555,-117.32916,18.558115,-20.245216,-16.449238,34.163803,0.94860864,0.011815018,0.9812867
40.63258,631.9348,410.7935,81.610245,205.03934,-260.13147,43.405502,-98.44946,-133.17126,1055.7784,2563.3237,881.2875,495.29114,237.15901,188.26065,142.1653,103.62367,110.072296,26.71029,8.639685,-16.690956,-68.56957,-45.873775,30.21736,39.139137,-22.06713,-8.608133,75.1285,10.877611,19.24911,23.817616,-25.099464,-55.875782,-40.76043,7.5682435,-16.839897,-16.312347,16.795395,71.60203,109.58275,5.2587705,32.060143,19.112757,175.22177,90.74722,46.715446,-12.456195,4.9071307,28.35955,-40.750034,-12.615302,52.321747,30.815123,31.417387,17.268944,48.7887,-49.817764,13.577542,53.318512,40.55899,-31.744167,1.8849043,34.597248,5.743759,-8.438914,9.336796,10.993507,42.985367,40.61169,-15.939372,43.116455,23.832462,39.478104,2388.1604,3733.4192,552.5235,-40.746643,-148.58173,-68.27448,341.61865,351.36182,107.77509,105.674805,84.49967,-166.05107,-68.12086,-236.99551,95.60595,163.0311,-28.716928,1227.6198,91.89417,-64.81821,-40.61394,2531.2542,402.73386,-60.71579,0.0,22.263569,-141.27246,-84.60156,0.8389652,0.1578417,0.95273125
41.08,240.62184,275.2859,298.68155,56.850086,75.854034,-430.57825,46.51245,291.92236,2029.9763,1395.4802,446.79868,263.9919,93.38172,69.18242,61.1145,-29.611425,34.313065,-58.866856,-62.056736,27.189861,12.349974,-40.61459,-50.03848,-56.60565,-68.78048,-56.629852,-3.895604,7.3394427,187.73825,278.09232,85.324974,41.192493,16.630474,43.873165,114.93754,278.21042,117.04019,-0.5207633,14.456495,44.982143,0.8368004,-20.179882,-19.806337,-15.4011545,-11.506924,75.4319,42.71927,41.49695,-34.289204,-12.386322,24.598883,41.64744,60.39913,-59.736385,-45.380646,2.6673076,-70.92711,34.5077,70.65282,100.88878,40.20607,-26.046337,0.79369694,42.02763,48.075466,16.518003,-29.770334,87.72444,-21.03125,10.727722,-19.819372,-97.6074,4468.9214,4459.5654,419.9293,641.2558,50.146385,235.21254,-41.046093,1346.0063,30.901297,29.20123,-40.73836,-9.414483,-321.57812,20.161005,-137.36398,122.64714,12.713327,26.839247,1014.2266,683.61847,5.6503677,185.04955,276.39716,408.17538,0.0,80.826096,5.26087,112.39132,0.96414524,0.020053498,0.9001947
40.89,520.8819,362.8357,-110.305115,-142.34865,-140.62923,-210.98694,-111.47267,317.06833,1189.3531,2407.04,770.13165,370.23282,239.8408,174.85774,135.29248,26.08441,65.89602,21.440657,-19.573095,107.38696,4.2193036,86.3272,45.030518,143.84737,-21.737453,11.41303,330.0862,364.20456,98.528786,-11.19778,-67.24375,12.401886,-16.622498,-7.1723895,28.112251,34.182903,17.365652,31.883663,66.933105,102.11435,-104.41715,-30.000727,14.676014,-65.782104,-26.303541,-10.425186,20.160833,66.11386,141.54977,113.22701,-2.619051,-14.166518,25.84663,-46.03933,-55.472958,-7.110367,-0.19905466,-30.549648,-17.77719,-59.48113,-37.289833,40.95663,36.702812,-37.066887,-36.041378,4.053498,14.387065,2.5467007,-73.011986,-3.6777709,0.0,0.0,2965.2148,3298.5037,805.0388,-343.3049,-127.45926,631.12396,466.26743,-286.39932,65.617195,-25.546114,-91.898926,166.5841,29.350582,10.335842,-81.08389,-10.158391,-22.249226,160.68886,124.10124,52.903717,53.89257,216.55914,31.148916,1.4832817,1.470492,21.077051,62.740993,-1.960656,0.85868627,0.016259864,1.0116091
40.89,274.72726,234.47885,504.5592,4.6324778,-56.79817,96.80469,117.33212,174.06859,1439.5531,1490.8098,478.04562,185.06699,138.2182,187.69789,508.6674,614.8328,304.58206,139.19763,98.71697,99.45347,50.023727,10.168675,46.28886,60.609127,-10.955577,25.238188,61.45906,15.468701,6.6184287,-38.431053,29.81357,43.833954,18.161766,-8.307237,79.32473,26.108673,29.709942,-3.7883503,-57.639263,-7.615398,-9.248636,-38.63196,33.20221,-25.334183,24.321957,42.719795,-6.7311735,-69.51828,77.30004,88.61629,1.9835675,-65.25957,-24.477823,-73.09453,119.6788,39.969913,86.15614,71.8523,38.27222,24.011047,54.070526,-6.106434,41.81214,70.98232,3.787667,-61.55299,49.755898,130.83652,33.698624,16.911072,112.45424,74.72126,5711.878,3540.3079,513.2876,311.86374,1685.8381,56.799004,-373.97397,339.96448,28.903198,-107.073265,23.231194,-268.38168,101.263504,71.63998,-173.02057,37.164276,101.28981,-27.270332,148.69533,1089.0083,-15.150185,-9.090111,-277.89767,111.678505,0.0,35.283943,19.847218,509.40717,0.9563405,-0.025261853,0.9753884
40.71,1463.3114,360.07993,428.7139,132.24382,-186.46109,-417.92917,-140.63846,-137.96036,1802.9226,2118.1604,866.02905,516.0929,389.97464,185.03891,142.42705,135.42549,42.580517,10.204275,7.4195127,23.178001,43.849586,-36.037758,-23.366034,-91.49696,6.296348,-0.54276353,7.593079,-33.43223,46.474674,-74.122574,-4.7944746,-40.690956,-12.267535,-129.49599,-55.6118,71.4171,51.111214,-7.6594963,-40.84952,-46.102283,-25.623447,-50.03366,-72.99861,-44.618233,-60.84207,20.85074,11.80012,18.841406,-4.9351997,49.16188,64.48345,33.41227,81.62841,40.6441,14.457974,-16.459833,0.082700536,-61.090187,-43.666634,-17.630156,37.809032,95.21285,-0.83286655,29.731695,20.693563,19.722761,20.323473,65.77693,60.762108,-20.22934,40.247665,29.371521,2284.9949,3425.0278,559.2087,107.49899,164.49608,-181.18651,-225.84802,-261.53247,37.516357,-65.68634,99.91564,-2.522871,5.03802,30.752247,-5.998646,-22.243473,-47.998295,171.48108,-161.22504,167.78891,0.0,630.5417,-22.153059,-117.7394,-54.830795,0.8435507,-41.333984,-124.42372,0.9744332,0.042529933,0.955363
40.64,86.88462,491.81143,67.74253,139.82587,-274.10388,272.41644,-129.02089,-100.56001,1356.6503,1454.6057,564.1944,196.8286,98.30711,26.855577,27.137388,93.957245,27.903418,53.034824,-9.207903,-15.729636,-17.61468,-46.72153,-29.740211,62.54371,90.37881,-24.009007,-25.330965,-33.05038,-76.54242,-60.76602,-94.80361,-11.065646,-73.083885,-57.523396,-34.296455,22.558273,108.53429,61.06792,-17.409397,6.3786592,-28.155073,-7.108115,-60.973785,35.11383,124.93735,80.714325,44.69101,91.66186,-74.18206,-41.37788,-50.696472,-1.2059293,10.057132,53.776596,47.65815,38.891438,63.9651,41.884964,9.315663,-8.747491,-108.16421,-44.642727,-52.044693,-114.69385,-104.08177,-113.80427,-60.716324,-150.83473,18.883224,9.039574,15.464659,-28.340385,2500.3745,2859.9395,587.96466,-111.69247,24.83845,296.5528,459.69128,-368.91354,22.11253,-21.76822,44.96162,67.81158,4.8583713,-58.980553,2.8401973,-135.75793,-23.470655,-81.39823,-1.9975026,-47.940063,-2.4968781,-146.31706,-163.29584,140.82393,0.0,9.462279,-29.382868,15.936471,0.94362533,-0.002319912,1.036199
